Unnamed: 0,Tank Failure Pressure (bar),Liquid Ratio,Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
6256,28.34,0.44,2.81,9.79,2.39,1.21,1.42,317.12,364.01,17,9,4,0.82,16,Subcooled,37.9,-1,152,20,3,18.8,0.25,0.1,0.69867092
6257,28.23,0.43,2.78,9.8,2.38,1.21,1.42,315.29,363.9,17,9,4,0.8,16,Subcooled,37.9,-1,152,21,3,18.8,0.25,1.9,0.66281015
6258,28.39,0.44,2.81,9.81,2.38,1.18,1.42,317.63,364.05,17,9,4,0.81,16,Subcooled,37.9,-1,152,22,4,18.8,0.5,2.2,0.56178701
6259,28.05,0.44,2.78,9.81,2.4,1.2,1.41,317.69,364.28,17,9,4,0.81,16,Subcooled,37.9,-1,152,23,4,18.8,4.8,2.2,0.46296909
6260,28.22,0.44,2.79,9.78,2.42,1.2,1.41,315.52,364.63,17,9,4,0.81,16,Subcooled,37.9,-1,152,24,4,18.8,9.1,2.2,0.37597319
6261,28.27,0.43,2.8,9.8,2.4,1.18,1.39,316.07,364.7,17,9,4,0.79,16,Subcooled,37.9,-1,152,25,5,18.8,9.35,-1.7,0.3100329
6262,28.23,0.44,2.79,9.79,2.38,1.19,1.41,316.76,364.08,17,9,4,0.79,16,Subcooled,37.9,-1,152,26,5,18.8,9.35,0.1,0.31054428
6263,28.16,0.43,2.8,9.81,2.41,1.2,1.39,316.88,364,17,9,4,0.82,16,Subcooled,37.9,-1,152,27,5,18.8,9.35,1.9,0.34004003
6264,40.75,0.7,1.41,4.01,1.01,1.58,0.39,320.78,341.84,8,11,10,0.62,10,Subcooled,42.5,-42,96.7,1,1,9.35,-3.9,-1.6,0.13608792
6265,40.95,0.7,1.4,3.99,1,1.62,0.39,321.26,341.79,8,11,10,0.6,10,Subcooled,42.5,-42,96.7,2,1,9.35,-3.9,3.2,0.10928817
6266,41.01,0.7,1.4,4.01,0.99,1.6,0.42,320.86,341.51,8,11,10,0.62,10,Subcooled,42.5,-42,96.7,3,1,9.35,-3.9,8,0.11400236
6267,40.97,0.7,1.38,4.01,1.01,1.61,0.39,321.31,342.04,8,11,10,0.59,10,Subcooled,42.5,-42,96.7,4,1,9.35,1.4,-1.6,0.08755751
6268,40.89,0.7,1.4,3.99,1.01,1.62,0.39,321.12,341.69,8,11,10,0.61,10,Subcooled,42.5,-42,96.7,5,1,9.35,1.4,3.2,0.10387161
6269,40.78,0.7,1.42,3.99,1,1.59,0.39,321.41,341.5,8,11,10,0.6,10,Subcooled,42.5,-42,96.7,6,1,9.35,1.4,8,0.075122401
6270,40.84,0.7,1.4,4.01,1.01,1.59,0.42,321.01,341.87,8,11,10,0.58,10,Subcooled,42.5,-42,96.7,7,1,9.35,6.7,-1.6,0.075715505
6271,40.92,0.7,1.41,3.99,1.02,1.59,0.38,322.33,341.59,8,11,10,0.61,10,Subcooled,42.5,-42,96.7,8,1,9.35,6.7,3.2,0.069290467
6272,41,0.7,1.42,4,1.02,1.62,0.39,322.96,341.47,8,11,10,0.59,10,Subcooled,42.5,-42,96.7,9,1,9.35,6.7,8,0.085916728
6273,40.8,0.7,1.41,4.01,0.99,1.58,0.38,321.07,341.94,8,11,10,0.59,10,Subcooled,42.5,-42,96.7,10,2,8.65,-3.9,-1.6,0.78752369
6274,41.03,0.7,1.41,4.01,0.98,1.6,0.39,320.88,341.41,8,11,10,0.6,10,Subcooled,42.5,-42,96.7,11,2,8.65,-3.9,3.2,0.40730962
6275,40.85,0.7,1.39,3.98,0.99,1.6,0.4,321.22,341.28,8,11,10,0.58,10,Subcooled,42.5,-42,96.7,12,2,8.65,-3.9,8,0.37929279
6276,41,0.69,1.4,4,1.02,1.61,0.42,321.82,341.91,8,11,10,0.59,10,Subcooled,42.5,-42,96.7,13,2,8.65,1.4,-1.6,0.98638099
6277,40.74,0.7,1.41,3.99,1,1.62,0.4,321.42,341.32,8,11,10,0.61,10,Subcooled,42.5,-42,96.7,14,2,8.65,1.4,3.2,0.52755189
6278,41.14,0.7,1.4,4,1,1.6,0.41,321.61,341.6,8,11,10,0.59,10,Subcooled,42.5,-42,96.7,15,2,8.65,1.4,8,0.44151363
6279,40.98,0.7,1.39,3.99,1,1.59,0.4,320.78,341.28,8,11,10,0.62,10,Subcooled,42.5,-42,96.7,16,2,8.65,6.7,-1.6,0.58670086
6280,40.99,0.7,1.4,4,0.99,1.62,0.41,320.55,341.93,8,11,10,0.6,10,Subcooled,42.5,-42,96.7,17,2,8.65,6.7,3.2,0.42109129
6281,41.2,0.7,1.38,4,1.02,1.58,0.39,322.12,341.46,8,11,10,0.6,10,Subcooled,42.5,-42,96.7,18,2,8.65,6.7,8,0.3118853
6282,40.97,0.7,1.41,4,1,1.6,0.41,321.44,341.45,8,11,10,0.61,10,Subcooled,42.5,-42,96.7,19,3,9,-4.15,-1.6,0.29996616
6283,40.96,0.7,1.4,4,1,1.61,0.38,322.4,340.94,8,11,10,0.6,10,Subcooled,42.5,-42,96.7,20,3,9,-4.15,3.2,0.20626298
6284,40.68,0.7,1.42,3.99,0.99,1.59,0.39,321.91,341.27,8,11,10,0.59,10,Subcooled,42.5,-42,96.7,21,3,9,-4.15,8,0.18637508
6285,40.9,0.7,1.39,4.01,0.99,1.59,0.4,321.2,341.03,8,11,10,0.61,10,Subcooled,42.5,-42,96.7,22,4,9,-3.9,8.3,0.16821475
6286,40.95,0.7,1.4,3.99,1.01,1.59,0.39,321.9,341.18,8,11,10,0.58,10,Subcooled,42.5,-42,96.7,23,4,9,1.4,8.3,0.1649332
6287,40.71,0.7,1.42,4.01,1.01,1.62,0.38,321.4,341.8,8,11,10,0.59,10,Subcooled,42.5,-42,96.7,24,4,9,6.7,8.3,0.14074045
6288,40.9,0.7,1.41,4.01,0.99,1.59,0.42,322.64,341.32,8,11,10,0.59,10,Subcooled,42.5,-42,96.7,25,5,9,6.95,-1.6,0.20287956
6289,40.87,0.7,1.4,4.02,1.02,1.61,0.41,322.23,341.24,8,11,10,0.6,10,Subcooled,42.5,-42,96.7,26,5,9,6.95,3.2,0.14192037
6290,40.98,0.7,1.4,4,1.01,1.6,0.42,322.81,341.83,8,11,10,0.6,10,Subcooled,42.5,-42,96.7,27,5,9,6.95,8,0.13302511
6291,15.19,0.47,2.21,2.61,1.8,0.39,1.01,429.46,380.35,6,8,8,1.38,9,Superheated,37.9,-1,152,1,1,8.55,-2.8,-0.7,0.16838878
6292,15.24,0.46,2.19,2.62,1.8,0.4,0.99,430.81,379.51,6,8,8,1.42,9,Superheated,37.9,-1,152,2,1,8.55,-2.8,3.1,0.18430126
6293,15.29,0.46,2.21,2.6,1.79,0.39,1,430.76,379.84,6,8,8,1.39,9,Superheated,37.9,-1,152,3,1,8.55,-2.8,6.9,0.26360872
6294,15.21,0.46,2.2,2.59,1.81,0.38,1.01,429.97,379.47,6,8,8,1.38,9,Superheated,37.9,-1,152,4,1,8.55,1,-0.7,0.16983336
6295,15.08,0.46,2.19,2.62,1.8,0.41,1,431.12,379.82,6,8,8,1.39,9,Superheated,37.9,-1,152,5,1,8.55,1,3.1,0.17000037
6296,15.08,0.46,2.2,2.61,1.8,0.38,0.98,431.43,379.88,6,8,8,1.41,9,Superheated,37.9,-1,152,6,1,8.55,1,6.9,0.14655533
6297,15.12,0.46,2.19,2.59,1.82,0.38,1.02,430.92,380.41,6,8,8,1.4,9,Superheated,37.9,-1,152,7,1,8.55,4.8,-0.7,0.085729904
6298,15.41,0.46,2.21,2.6,1.79,0.4,1.01,431.41,379.77,6,8,8,1.41,9,Superheated,37.9,-1,152,8,1,8.55,4.8,3.1,0.091959365
6299,15.25,0.46,2.2,2.6,1.82,0.4,0.99,429.62,380.07,6,8,8,1.41,9,Superheated,37.9,-1,152,9,1,8.55,4.8,6.9,0.14995436
6300,15.13,0.46,2.2,2.58,1.78,0.39,0.98,430.78,380.34,6,8,8,1.39,9,Superheated,37.9,-1,152,10,2,7.05,-2.8,-0.7,1.2835201
6301,15.1,0.46,2.21,2.62,1.8,0.41,0.99,430.81,379.75,6,8,8,1.38,9,Superheated,37.9,-1,152,11,2,7.05,-2.8,3.1,1.0686146
6302,15.33,0.47,2.2,2.59,1.81,0.38,1.01,429.38,380.03,6,8,8,1.42,9,Superheated,37.9,-1,152,12,2,7.05,-2.8,6.9,0.65806198
6303,15.29,0.47,2.22,2.6,1.8,0.41,0.98,430.78,379.55,6,8,8,1.38,9,Superheated,37.9,-1,152,13,2,7.05,1,-0.7,1.5048721
6304,15.24,0.46,2.21,2.6,1.78,0.41,1.01,430.88,380,6,8,8,1.41,9,Superheated,37.9,-1,152,14,2,7.05,1,3.1,1.1249609
6305,15.33,0.46,2.18,2.61,1.81,0.41,0.99,429.52,380.29,6,8,8,1.41,9,Superheated,37.9,-1,152,15,2,7.05,1,6.9,0.71125102
6306,15.15,0.47,2.21,2.6,1.82,0.38,0.99,429.75,379.84,6,8,8,1.4,9,Superheated,37.9,-1,152,16,2,7.05,4.8,-0.7,1.0527083
6307,15.35,0.47,2.18,2.61,1.81,0.41,1.01,429.33,378.84,6,8,8,1.4,9,Superheated,37.9,-1,152,17,2,7.05,4.8,3.1,1.0196056
6308,15.12,0.47,2.18,2.59,1.79,0.38,1.01,430.08,380.02,6,8,8,1.41,9,Superheated,37.9,-1,152,18,2,7.05,4.8,6.9,0.63461947
6309,15.23,0.46,2.19,2.58,1.81,0.38,1.02,429.63,379.65,6,8,8,1.42,9,Superheated,37.9,-1,152,19,3,7.8,-3.05,-0.7,0.65036058
6310,15.22,0.46,2.2,2.59,1.78,0.4,0.99,430.87,379.36,6,8,8,1.39,9,Superheated,37.9,-1,152,20,3,7.8,-3.05,3.1,0.65716064
6311,15.38,0.46,2.19,2.59,1.82,0.4,0.99,429.56,380.02,6,8,8,1.38,9,Superheated,37.9,-1,152,21,3,7.8,-3.05,6.9,0.58091605
6312,15.35,0.47,2.18,2.61,1.8,0.42,1.01,431.13,379.7,6,8,8,1.42,9,Superheated,37.9,-1,152,22,4,7.8,-2.8,7.2,0.27832285
6313,14.89,0.47,2.21,2.59,1.82,0.41,0.98,430.42,379.83,6,8,8,1.39,9,Superheated,37.9,-1,152,23,4,7.8,1,7.2,0.20408937
6314,15.16,0.47,2.21,2.59,1.81,0.41,0.98,430.52,379.62,6,8,8,1.42,9,Superheated,37.9,-1,152,24,4,7.8,4.8,7.2,0.23189263
6315,15.39,0.47,2.2,2.6,1.79,0.42,0.99,429.99,379.16,6,8,8,1.39,9,Superheated,37.9,-1,152,25,5,7.8,5.05,-0.7,0.29262525
6316,15.26,0.47,2.19,2.58,1.8,0.38,1.01,430.75,379.68,6,8,8,1.38,9,Superheated,37.9,-1,152,26,5,7.8,5.05,3.1,0.30811575
6317,15.32,0.46,2.22,2.6,1.78,0.42,0.98,429.42,379.55,6,8,8,1.4,9,Superheated,37.9,-1,152,27,5,7.8,5.05,6.9,0.24972853
6318,17.7,0.51,2.42,6.59,1,0.4,0.59,342.98,386.2,16,11,6,0.38,26,Superheated,37.9,-1,152,1,1,17.65,2.5,-0.5,0.09648747
6319,17.89,0.51,2.38,6.62,0.99,0.4,0.6,342.85,386.17,16,11,6,0.4,26,Superheated,37.9,-1,152,2,1,17.65,2.5,2.3,0.097563066
6320,17.97,0.51,2.4,6.62,1.02,0.41,0.6,342.04,386.23,16,11,6,0.39,26,Superheated,37.9,-1,152,3,1,17.65,2.5,5.1,0.1395825
6321,17.91,0.51,2.41,6.62,0.99,0.42,0.6,342.92,386.68,16,11,6,0.39,26,Superheated,37.9,-1,152,4,1,17.65,7.8,-0.5,0.073274121
6322,17.95,0.51,2.38,6.59,0.98,0.4,0.59,341.92,386.68,16,11,6,0.4,26,Superheated,37.9,-1,152,5,1,17.65,7.8,2.3,0.07479243
6323,3681.690849,0.51,2.41,6.59,0.99,0.41,0.61,340.9,386.26,16,11,6,0.39,26,Superheated,37.9,-1,152,6,1,17.65,7.8,5.1,0.07017684
6324,18.13,0.52,2.4,6.62,1,0.41,0.6,342.55,386.18,16,11,6,0.42,26,Superheated,37.9,-1,152,7,1,17.65,13.1,-0.5,0.06475208
6325,17.99,0.51,2.39,6.59,0.99,0.41,0.61,341.54,,16,11,6,0.38,26,Superheated,37.9,-1,152,8,1,17.65,13.1,2.3,0.044967663
6326,17.9,0.51,2.4,6.59,1,0.42,0.6,341.04,386.19,16,11,6,0.39,26,Superheated,37.9,-1,152,9,1,17.65,13.1,5.1,0.095735237
6327,17.75,0.51,2.39,6.6,0.99,0.4,0.62,343.01,386.06,16,11,6,0.41,26,Superheated,37.9,-1,152,10,2,17.15,2.5,-0.5,0.4212797
6328,17.98,0.52,2.39,6.62,1,0.39,0.6,342.3,386.66,16,11,6,0.4,26,Superheated,37.9,-1,152,11,2,17.15,2.5,2.3,0.42264763
6329,17.84,0.51,2.41,6.6,0.99,0.39,0.61,341.36,386.42,16,11,6,0.42,26,Superheated,37.9,-1,152,12,2,17.15,2.5,5.1,0.40753755
6330,17.79,0.51,2.42,6.59,1.02,0.41,0.61,341.88,386.64,16,11,6,0.4,26,Superheated,37.9,-1,152,13,2,17.15,7.8,-0.5,0.39296672
6331,18.06,0.52,2.41,6.59,1.01,0.39,0.59,341.55,386.3,16,11,6,0.39,26,Superheated,37.9,-1,152,14,2,17.15,7.8,2.3,0.39973238
6332,17.82,0.51,2.39,6.58,1,0.42,0.59,342.21,386.12,16,11,6,0.4,26,Superheated,37.9,-1,152,15,2,17.15,7.8,5.1,0.38831171
6333,17.9,0.51,2.42,6.58,1.01,0.41,0.61,342.53,386.04,16,11,6,0.4,26,Superheated,37.9,-1,152,16,2,17.15,13.1,-0.5,0.2846061
6334,17.85,0.52,2.4,6.61,0.99,0.4,0.6,341.94,386.27,16,11,6,0.41,26,Superheated,37.9,-1,152,17,2,17.15,13.1,2.3,0.29037395
6335,17.99,0.51,2.39,6.61,1.02,0.41,0.59,342.16,386.77,16,11,6,0.41,26,Superheated,37.9,-1,152,18,2,17.15,13.1,5.1,0.28296214
6336,17.95,0.51,2.41,6.59,1.01,0.4,0.59,341.16,387.04,16,11,6,0.39,26,Superheated,37.9,-1,152,19,3,17.4,2.25,-0.5,0.26158246
6337,18.23,0.52,2.4,6.59,1.01,0.42,0.6,341.61,386.34,16,11,6,0.38,26,Superheated,37.9,-1,152,20,3,17.4,2.25,2.3,0.26333129
6338,17.92,0.51,2.4,6.59,1,0.41,0.62,342.15,386.55,16,11,6,0.4,26,Superheated,37.9,-1,152,21,3,17.4,2.25,5.1,0.25620279
6339,17.97,0.51,2.4,6.59,1.02,0.39,0.61,341.81,386.66,16,11,6,0.41,26,Superheated,37.9,-1,152,22,4,17.4,2.5,5.4,0.20933808
6340,17.76,0.52,2.41,6.6,1.02,0.4,0.58,342.52,386.14,16,11,6,0.4,26,Superheated,37.9,-1,152,23,4,17.4,7.8,5.4,0.18191314
6341,17.84,0.51,2.41,6.59,1.02,0.39,0.58,342.03,386.45,16,11,6,0.4,26,Superheated,37.9,-1,152,24,4,17.4,13.1,5.4,0.14741752
6342,17.8,0.51,2.41,6.61,1.01,0.4,0.6,342.42,386.58,16,11,6,0.41,26,Superheated,37.9,-1,152,25,5,17.4,13.35,-0.5,0.11238202
6343,17.92,0.51,2.4,6.6,1,0.39,0.59,342.48,386.48,16,11,6,0.4,26,Superheated,37.9,-1,152,26,5,17.4,13.35,2.3,0.11450098
6344,17.88,0.51,2.39,6.62,1.01,0.39,0.61,342.26,387.44,16,11,6,0.4,26,Superheated,37.9,-1,152,27,5,17.4,13.35,5.1,0.12376044
6345,35.33,0.45,1,9.41,1.39,1.01,0.79,361.46,286.55,10,13,6,1.19,27,Subcooled,37.9,-1,152,1,1,11.75,-1.3,-1.2,0.20411351
6346,35.18,0.45,0.99,9.41,1.38,1.02,0.79,362.86,286.33,10,13,6,1.18,27,Subcooled,37.9,-1,152,2,1,11.75,-1.3,1.6,0.21022536
6347,35.27,0.45,0.99,9.42,1.39,0.98,0.8,362.04,286.77,10,13,6,1.2,27,Subcooled,37.9,-1,152,3,1,11.75,-1.3,4.4,0.27111378
6348,35.14,0.44,1,9.41,1.39,0.99,0.78,362.41,286.24,10,13,6,1.18,27,Subcool,37.9,-1,152,4,1,11.75,5,-1.2,0.16999462
6349,35.22,0.45,1,9.38,1.4,1,0.8,361.21,286.62,10,13,6,1.18,27,Subcooled,37.9,-1,152,5,1,11.75,5,1.6,0.14971717
6350,4578.906769,0.45,0.99,9.42,1.4,1.02,0.79,361.22,286.78,10,13,6,1.2,27,Subcooled,37.9,-1,152,6,1,11.75,5,4.4,0.099819191
6351,35.12,0.45,1.01,9.4,1.39,1.02,0.79,362.12,286.64,10,13,6,1.2,27,Subcooled,37.9,-1,152,7,1,11.75,11.3,-1.2,0.080085963
6352,35.34,0.45,0.99,9.41,1.41,0.99,0.81,362.34,286.51,10,13,6,1.22,27,Subcooled,37.9,-1,152,8,1,11.75,11.3,1.6,0.059770346
6353,35.26,0.44,1.01,9.39,1.4,1,0.81,360.77,285.89,10,13,6,1.2,27,Subcooled,37.9,-1,152,9,1,11.75,11.3,4.4,0.12024961
6354,35.28,0.45,1,9.42,1.4,1,0.79,362.39,286.06,10,13,6,1.2,27,Subcooled,37.9,-1,152,10,2,10.45,-1.3,-1.2,1.8903236
6355,35.01,0.45,1,9.4,1.39,0.98,0.8,362.1,286.57,10,13,6,1.2,27,Subcooled,37.9,-1,152,11,2,10.45,-1.3,1.6,1.8121948
6356,34.99,0.45,1,9.42,1.38,1.01,0.78,361.25,287.51,10,13,6,1.2,27,Subcooled,37.9,-1,152,12,2,10.45,-1.3,4.4,1.5564575
6357,35.2,0.45,0.99,9.4,1.4,0.99,0.82,361.48,286.99,10,13,6,1.19,27,Subcooled,37.9,-1,152,13,2,10.45,5,-1.2,1.2024008
6358,35.15,0.45,0.99,9.41,1.39,1.02,0.81,361.59,286.59,10,13,6,1.19,27,Subcooled,37.9,-1,152,14,2,10.45,5,1.6,1.162567
6359,35.24,0.45,1,9.42,1.4,0.99,0.81,361.39,287.2,10,13,6,1.21,27,Subcooled,37.9,-1,152,15,2,10.45,5,4.4,1.0020443
6360,35.37,0.45,1,9.39,1.4,0.99,0.8,361.63,286.35,10,13,6,1.22,27,Subcooled,37.9,-1,152,16,2,10.45,11.3,-1.2,0.57869333
6361,35.31,0.45,1,9.39,1.42,1.01,0.8,362.37,286.85,10,13,6,1.21,27,Subcooled,37.9,-1,152,17,2,10.45,11.3,1.6,0.57449675
6362,35.2,0.45,1.01,9.42,1.39,0.99,0.8,362.6,286.25,10,13,6,1.19,27,Subcooled,37.9,-1,152,18,2,10.45,11.3,4.4,0.51918912
6363,35.24,0.45,1.02,9.4,1.4,0.98,0.8,360.95,286.17,10,13,6,1.2,27,Subcooled,37.9,-1,152,19,3,11.1,-1.55,-1.2,0.84540099
6364,35.18,0.45,1,9.42,1.41,1.01,0.8,361.89,286.27,10,13,6,1.2,27,Subcooled,37.9,-1,152,20,3,11.1,-1.55,1.6,0.83257461
6365,35.16,0.44,1,9.42,1.38,1.01,0.79,361.7,286.33,10,13,6,1.21,27,Subcooled,37.9,-1,152,21,3,11.1,-1.55,4.4,0.74029046
6366,35.01,0.45,1.02,9.39,1.39,1,0.82,360.1,285.86,10,13,6,1.2,27,Subcooled,37.9,-1,152,22,4,11.1,-1.3,4.7,0.53641051
6367,35.24,0.44,1,9.41,1.38,0.99,0.82,361.48,287.01,10,13,6,1.21,27,Subcooled,37.9,-1,152,23,4,11.1,5,4.7,0.30883795
6368,35.18,0.45,1.01,9.4,1.4,0.99,0.79,361.76,286.48,10,13,6,1.2,27,Subcooled,37.9,-1,152,24,4,11.1,11.3,4.7,0.19567871
6369,35.18,0.44,0.98,9.41,1.4,1,0.8,362.48,286.85,10,13,6,1.21,27,Subcooled,37.9,-1,152,25,5,11.1,11.55,-1.2,0.17379098
6370,35.3,0.45,0.99,9.41,1.38,0.99,0.79,361.12,286.47,10,13,6,1.2,27,Subcooled,37.9,-1,152,26,5,11.1,11.55,1.6,0.17328931
6371,35.16,0.45,1,9.4,1.38,1.01,0.81,361.54,287.14,10,13,6,1.19,27,Subcooled,37.9,-1,152,27,5,11.1,11.55,4.4,0.19293559
6372,12.43,0.9,0.79,7.18,1.62,1.18,0.21,405.87,345.51,13,7,15,2.41,9,Superheated,42.5,-42,96.7,1,1,15.85,-1.3,-1.1,0.10000353
6373,12.38,0.9,0.81,7.2,1.62,1.18,0.22,404.59,345.51,13,7,15,2.41,9,Superheated,42.5,-42,96.7,2,1,15.85,-1.3,6.2,0.09694048
6374,12.54,0.9,0.8,7.2,1.58,1.22,0.2,,345.73,13,7,15,2.42,9,Superheated,42.5,-42,96.7,3,1,15.85,-1.3,13.5,0.070612013
6375,12.5,0.9,0.79,7.19,1.59,1.22,0.2,404.81,345.82,13,7,15,2.38,9,Superheated,42.5,-42,96.7,4,1,15.85,2,-1.1,0.056258854
6376,12.54,0.9,0.81,7.22,1.62,1.19,0.19,404.84,345.52,13,7,15,2.4,9,Superheated,42.5,-42,96.7,5,1,15.85,2,6.2,0.05343359
6377,12.53,0.9,0.81,7.2,1.61,1.19,0.2,404.08,345.58,13,7,15,2.4,9,Superheated,42.5,-42,96.7,6,1,15.85,2,13.5,0.051461104
6378,12.55,0.9,0.8,7.2,1.59,1.18,0.18,405.28,345.32,13,7,15,2.4,9,Superheated,42.5,-42,96.7,7,1,15.85,5.3,-1.1,0.044473834
6379,12.57,0.9,0.79,7.18,1.59,1.18,0.2,405.51,346.07,13,7,15,2.42,9,Superheated,42.5,-42,96.7,8,1,15.85,5.3,6.2,0.040931799
6380,12.67,0.9,0.81,7.19,1.61,1.19,0.21,405.81,345.77,13,7,15,2.41,9,Superheated,42.5,-42,96.7,9,1,15.85,5.3,13.5,0.032119047
6381,12.61,0.9,0.8,7.19,1.61,1.18,0.19,404.5,345.49,13,7,15,2.41,9,Superheated,42.5,-42,96.7,10,2,13.35,-1.3,-1.1,0.5764479
6382,12.53,0.9,0.79,7.19,1.59,1.19,0.22,404.67,345.67,13,7,15,2.4,9,Superheated,42.5,-42,96.7,11,2,13.35,-1.3,6.2,0.47374782
6383,12.62,0.9,0.81,7.21,1.61,1.22,0.21,404.34,346.01,13,7,15,2.4,9,Superheated,42.5,-42,96.7,12,2,13.35,-1.3,13.5,0.25582647
6384,12.49,0.9,0.79,7.2,1.59,1.21,0.2,405.35,345.56,13,7,15,2.41,9,Superheated,42.5,-42,96.7,13,2,13.35,2,-1.1,0.5025965
6385,12.36,0.9,0.82,7.2,1.6,1.21,0.21,404.13,345.77,13,7,15,2.41,9,Superheated,42.5,-42,96.7,14,2,13.35,2,6.2,0.40440872
6386,12.64,0.9,0.81,7.19,1.61,1.2,0.2,403.2,345.62,13,7,15,2.4,9,Superheated,42.5,-42,96.7,15,2,13.35,2,13.5,0.22345127
6387,12.26,0.9,0.8,7.2,1.59,1.2,0.18,402.81,345.75,13,7,15,2.4,9,Superheated,42.5,-42,96.7,16,2,13.35,5.3,-1.1,0.35401398
6388,12.61,0.9,0.8,7.19,1.6,1.19,0.21,405.8,345.75,13,7,15,2.41,9,Superheated,42.5,-42,96.7,17,2,13.35,5.3,6.2,0.28090632
6389,12.47,0.9,0.79,7.18,1.6,1.18,0.21,404.24,345.59,13,7,15,2.38,9,Superheated,42.5,-42,96.7,18,2,13.35,5.3,13.5,0.16372024
6390,12.54,0.9,0.82,7.22,1.59,1.19,0.2,404.62,345.82,13,7,15,2.4,9,Superheated,42.5,-42,96.7,19,3,14.6,-1.55,-1.1,0.30711129
6391,12.62,0.9,0.81,7.18,1.6,1.19,0.2,404.36,345.76,13,7,15,2.41,9,Superheated,42.5,-42,96.7,20,3,14.6,-1.55,6.2,0.27155021
6392,12.39,0.9,0.8,7.18,1.62,1.18,0.18,405.46,345.91,13,7,15,2.42,9,Superheated,42.5,-42,96.7,21,3,14.6,-1.55,13.5,0.15333533
6393,12.69,0.9,0.81,7.21,1.61,1.21,0.2,404.91,346.9,13,7,15,2.41,9,Superheated,42.5,-42,96.7,22,4,14.6,-1.3,13.8,0.10287083
6394,12.57,0.9,0.8,7.2,1.58,1.22,0.22,404.96,345.27,13,7,15,2.39,9,Superheated,42.5,-42,96.7,23,4,14.6,2,13.8,0.065715291
6395,12.58,0.9,0.81,7.21,1.59,1.2,0.21,403.44,345.8,13,7,15,2.41,9,Superheated,42.5,-42,96.7,24,4,14.6,5.3,13.8,0.067845978
6396,12.27,0.9,0.8,7.21,1.59,1.22,0.19,404.86,346.24,13,7,15,2.41,9,Superheated,42.5,-42,96.7,25,5,14.6,5.55,-1.1,0.13139844
6397,12.4,0.9,0.81,7.22,1.6,1.19,0.19,405,345.41,13,7,15,2.4,9,Superheated,42.5,-42,96.7,26,5,14.6,5.55,6.2,0.11305036
6398,12.56,0.9,0.79,7.22,1.6,1.2,0.21,404.85,345.86,13,7,15,2.42,9,Superheated,42.5,-42,96.7,27,5,14.6,5.55,13.5,0.067928858
6399,28.3,0.43,1.99,2.42,1.21,2.01,0.61,285.61,342.88,11,13,13,1.39,9,Subcooled,37.9,-1,152,1,1,13.45,-4.5,-2.1,0.12209646
6400,28.15,0.44,2,2.39,1.2,1.99,0.59,285.8,343.77,11,13,13,1.39,9,Subcooled,37.9,-1,152,2,1,13.45,-4.5,4.2,0.10050453
6401,28.26,0.44,1.98,2.41,1.21,2,0.6,286.81,342.88,11,13,13,1.4,9,Subcooled,37.9,-1,152,3,1,13.45,-4.5,10.5,0.1094327
6402,28.23,0.44,1.99,2.4,1.19,2.01,0.62,285.48,343.2,11,13,13,1.4,9,Subcooled,37.9,-1,152,4,1,13.45,1.8,-2.1,0.05070271
6403,28.23,0.43,1.98,2.41,1.22,1.98,0.61,286.29,342.66,11,13,13,1.4,9,Subcooled,37.9,-1,152,5,1,13.45,1.8,4.2,0.048318774
6404,28.23,0.43,2,2.39,1.21,1.98,0.6,286.91,343.36,11,13,13,1.41,9,Subcooled,37.9,-1,152,6,1,13.45,1.8,10.5,0.043949146
6405,28,0.44,2,2.39,1.21,2.02,0.6,286.02,342.13,11,13,13,1.4,9,Subcooled,37.9,-1,152,7,1,13.45,8.1,-2.1,0.047894228
6406,28.34,0.44,2.01,2.41,1.21,1.99,0.6,287.78,342.82,11,13,13,1.39,9,Subcooled,37.9,-1,152,8,1,13.45,8.1,4.2,0.03839279
6407,28.13,0.43,2.01,2.4,1.2,2.01,0.62,285.97,342.57,11,13,13,1.39,9,Subcooled,37.9,-1,152,9,1,13.45,8.1,10.5,0.053916402
6408,28.19,0.44,1.99,2.4,1.2,2.01,0.61,285.79,342.49,11,13,13,1.4,9,Subcooled,37.9,-1,152,10,2,11.95,-4.5,-2.1,0.46410102
6409,28.45,0.43,2,2.41,1.2,2,0.61,285.65,342.87,11,13,13,1.39,9,Subcooled,37.9,-1,152,11,2,11.95,-4.5,4.2,0.38676071
6410,28.13,0.43,2.02,2.4,1.2,2,0.59,286.71,342.26,11,13,13,1.38,9,Subcooled,37.9,-1,152,12,2,11.95,-4.5,10.5,0.22107254
6411,28.39,0.44,1.99,2.4,1.21,1.98,0.58,287.21,343.34,11,13,13,1.4,9,Subcooled,37.9,-1,152,13,2,11.95,1.8,-2.1,0.50223017
6412,28.29,0.44,1.99,2.38,1.2,2.01,0.59,286.39,342.92,11,13,13,1.42,9,Subcooled,37.9,-1,152,14,2,11.95,1.8,4.2,0.25566939
